# Constructed from biom file
#OTU ID	ERR1952059	ERR1952060	ERR1952062	ERR1952063	ERR1952066	ERR1952067	ERR1952068	ERR1952069	ERR1952071	ERR1952073	ERR1952074	ERR1952075	ERR1952076	ERR1952077	ERR1952078	ERR1952079	ERR1952080	ERR1952081	ERR1952082	ERR1952083	ERR1952084	ERR1952085	ERR1952086	ERR1952087	ERR1952088	ERR1952089	ERR1952090	ERR1952091	ERR1952092	ERR1952093	ERR1952094	ERR1952095	ERR1952096	ERR1952097	ERR1952098	ERR1952099	ERR1952100	ERR1952101	ERR1952102	ERR1952103	ERR1952104	ERR1952105	ERR1952106	ERR1952107	ERR1952108	ERR1952109	ERR1952110	ERR1952111	ERR1952112	ERR1952113	ERR1952114	ERR1952115	ERR1952116	ERR1952117	ERR1952124
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	175.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	561.0	0.0	818.0	120.0	0.0	702.0	0.0	0.0	21.0	45.0	4128.0	0.0	0.0	119.0	244.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	605.0	630.0	0.0	0.0	597.0	0.0	0.0	0.0	677.0	0.0	0.0	0.0	0.0	478.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	471.0	410.0	2425.0	0.0	0.0	429.0	1498.0	0.0	0.0	0.0	0.0	0.0	3721.0	0.0	641.0	0.0	0.0	1211.0	5055.0	1057.0	0.0	0.0	0.0	433.0	0.0	588.0	0.0	468.0	0.0	3690.0	1120.0	0.0	0.0	681.0	0.0	0.0	0.0	729.0	5553.0	0.0	280.0	0.0	0.0	454.0	706.0	5450.0	735.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	637.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6898.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	4762.0	0.0	0.0	0.0	0.0	82458.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	53667.0	22183.0	0.0	0.0	0.0	0.0	18487.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5035.0	1622.0	56292.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49003.0	33284.0	0.0	0.0	80759.0	0.0	5968.0	0.0	0.0	47809.0	0.0	0.0	0.0	7084.0	0.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	269.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1640.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5050.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia;g__Sericytochromatia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	613.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1783.0	1099.0	10398.0	0.0	2931.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0	392.0	0.0	760.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
