# Constructed from biom file
#OTU ID	SRR26290572	SRR26290574	SRR26290585	SRR26290586	SRR26290589	SRR26290590	SRR26290592	SRR26290593	SRR26290596	SRR26290602	SRR26290606	SRR26290608	SRR26290611	SRR26290618	SRR26290625	SRR26290626	SRR26290631	SRR26290637	SRR26290638	SRR26290648	SRR26290649	SRR26290651	SRR26290653	SRR26290654	SRR26290657	SRR26290659
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	8882.0	0.0	0.0	0.0	0.0	17230.0	0.0	0.0	0.0	0.0	11319.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3812.0	3547.0	0.0	6708.0	0.0	17.0	12.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Marinobacteraceae;g__Marinobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	13301.0	1520.0	6745.0	6099.0	1989.0	2084.0	121.0	5940.0	8116.0	8093.0	3886.0	812.0	9038.0	125.0	415.0	1920.0	10395.0	4314.0	2117.0	955.0	252.0	7038.0	2517.0	115.0	4733.0	8289.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	4096.0	30.0	0.0	561.0	2613.0	267.0	0.0	0.0	48.0	217.0	196.0	13.0	0.0	0.0	0.0	51.0	256.0	32.0	164.0	66.0	0.0	0.0	196.0	0.0	126.0	2239.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Kingella	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	22.0	0.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	16.0	0.0	67.0	26.0	17.0	0.0	0.0	0.0	0.0	817.0	0.0	0.0	58.0	6.0	11.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	49.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.0	0.0	1091.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	903.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	112.0	0.0	0.0	0.0
