# Constructed from biom file
#OTU ID	SRR29054426	SRR29054440	SRR29054451	SRR29054457	SRR29054479	SRR29054487	SRR29054498	SRR29054506	SRR29054511	SRR29054514	SRR29054534	SRR29054547	SRR29054551	SRR29054557	SRR29054564	SRR29054568	SRR29054569
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	177.0	137.0	108.0	236.0	81.0	90.0	103.0	188.0	104.0	124.0	27.0	83.0	120.0	102078.0	106.0	17283.0	26.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	293.0	62.0	176.0	140.0	135233.0	202.0	171.0	1100.0	29217.0	3092.0	24723.0	88786.0	116.0	3011.0	74945.0	41866.0	110.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17432.0	0.0	0.0	0.0	0.0	287.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6804.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1994.0	6.0	1201.0	0.0	0.0	0.0	303.0	2234.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0.0	0.0	0.0	12.0	0.0	0.0	17.0	20.0	7.0	260791.0	0.0	7665.0	0.0	11.0	21.0	87626.0	350.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5714.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	331990.0	210554.0	313730.0	357106.0	149.0	212.0	366830.0	407706.0	244.0	4427.0	76.0	13514.0	418258.0	39727.0	21709.0	46103.0	402044.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	30.0	0.0	30.0	22.0	0.0	32.0	0.0	0.0	24.0	0.0	0.0	0.0	42.0	38.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12091.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19539.0	0.0	0.0	0.0	0.0	15546.0	0.0	0.0	32.0
