# Constructed from biom file																																	
#OTU ID	SRR7949577	SRR7949582	SRR7949585	SRR7949590	SRR7949592	SRR7949598	SRR7949600	SRR7949604	SRR7949607	SRR7949609	SRR7949610	SRR7949612	SRR7949614	SRR7949615	SRR7949616	SRR7949617	SRR7949618	SRR7949619	SRR7949620	SRR7949621	SRR7949623	SRR7949626	SRR7949628	SRR7949629	SRR7949631	SRR7949633	SRR7949634	SRR7949635	SRR7949636	SRR7949641	SRR7949647	SRR79495901	SRR79495902
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	24665	58373	496	6977	70	2570	1353	1291	812	333	2825	23084	16982	7899	9334	1349	0	1319	8073	16787	12238	685	21	2063	9625	30122	37882	21977	29810	1014	1322	4163	9068
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	26	0	0	0	0	0	0	0	48
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	3430	60642	5664	2926	11208	8003	5595	7574	847	1521	2626	4357	5481	4133	11403	7452	274	24340	17127	4660	1697	1185	2115	8173	30832	0	48139	5635	32795	71	4007	5189	6056
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0	0	0	0	0	0	0	0	0	0	836	0	0	0	0	0	0	416	0	0	110	0	90	0	45	0	248	0	102	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured	266	8839	0	1335	59	328	177	0	194	0	36	0	8	19	0	83	0	3282	363	0	194	322	343	725	654	0	3087	672	3370	0	49	709	42
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0	0	0	288	15	0	28	0	0	539	96	0	432	32	851	0	5124	39	0	0	230	31	0	241	96	138	683	0	213	0	521	144	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0	0	0	0	0	48	417	0	0	0	0	0	0	26	0	0	531	466	77	309	0	0	11	0	0	0	830	0	106	0	110	0	155
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
