# Constructed from biom file
#OTU ID	SRR9118158	SRR9118159	SRR9118161	SRR9118164	SRR9118165	SRR9118168	SRR9118169	SRR9118170	SRR9118176	SRR9118179	SRR9118181	SRR9118182	SRR9118184	SRR9118187
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	99742.0	0.0	52043.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4775.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax	0.0	161.0	34.0	0.0	0.0	0.0	1014.0	0.0	0.0	491.0	0.0	0.0	230.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	0.0	393.0	0.0	8.0	0.0	0.0	1798.0	0.0	0.0	768.0	0.0	0.0	1668.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	33606.0	507.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	149.0	805.0	345.0	1260.0	0.0	0.0	11025.0	0.0	252.0	3924.0	339.0	81.0	9794.0	2408.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0.0	69.0	55330.0	193437.0	0.0	0.0	717.0	28933.0	0.0	9735.0	167.0	361.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	101493.0	0.0	547.0	40.0	18907.0	117731.0	0.0	0.0	75295.0	0.0	0.0	2531.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia	0.0	352.0	0.0	107.0	0.0	0.0	3573.0	0.0	0.0	2204.0	0.0	0.0	1567.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	964.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia	32169.0	50719.0	58.0	174.0	0.0	0.0	6396.0	65273.0	73254.0	1907.0	0.0	1384.0	67527.0	485.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	106439.0	0.0	68324.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	1293.0	147.0	948.0	0.0	0.0	6359.0	216.0	251.0	6899.0	643.0	104.0	13803.0	140.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	258.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
