# Constructed from biom file
#OTU ID	SRR15147330	SRR15147331	SRR15147332	SRR15147333	SRR15147336	SRR15147338	SRR15147339	SRR15147340	SRR15147341	SRR15147343	SRR15147344	SRR15147346	SRR15147347	SRR15147349	SRR15147350	SRR15147351	SRR15147352	SRR15147353	SRR15147355	SRR15147356	SRR15147357	SRR15147358	SRR15147359	SRR15147360	SRR15147361	SRR15147363	SRR15147364	SRR15147366	SRR15147367	SRR15147368	SRR15147369	SRR15147370	SRR15147371	SRR15147372	SRR15147373	SRR15147374	SRR15147375	SRR15147376	SRR15147379	SRR15147380	SRR15147381	SRR15147382	SRR15147383	SRR15147384	SRR15147385	SRR15147386	SRR15147387	SRR15147388	SRR15147389	SRR15147390	SRR15147391	SRR15147392	SRR15147393	SRR15147394	SRR15147395
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	360.0	935.0	1291.0	0.0	0.0	0.0	48.0	106.0	463.0	0.0	808.0	0.0	20.0	13.0	0.0	16.0	0.0	0.0	0.0	47.0	153.0	156.0	0.0	216.0	50.0	114.0	0.0	203.0	228.0	142.0	0.0	0.0	0.0	31.0	0.0	186.0	0.0	42.0	0.0	652.0	213.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	312.0	244.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	98634.0	28943.0	0.0	0.0	786.0	362.0	853.0	0.0	0.0	0.0	0.0	1468.0	0.0	0.0	61441.0	0.0	0.0	0.0	0.0	0.0	1540.0	1325.0	0.0	0.0	1232.0	0.0	0.0	0.0	0.0	99528.0	0.0	530.0	0.0	0.0	0.0	2377.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80751.0	56901.0	0.0	0.0	0.0	0.0	45411.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	0.0	243.0	605.0	282.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	1303.0	293.0	0.0	0.0	0.0	0.0	0.0	0.0	371.0	495.0	0.0	317.0	0.0	0.0	71.0	0.0	0.0	479.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	818.0	0.0	357.0	0.0	54.0	0.0	0.0	263.0	185.0	0.0	252.0	0.0	1652.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	0.0	0.0	0.0	11327.0	0.0	2001.0	0.0	217.0	5009.0	1270.0	1572.0	1217.0	0.0	1450.0	390.0	0.0	0.0	0.0	3274.0	0.0	578.0	0.0	4384.0	0.0	0.0	0.0	0.0	917.0	2579.0	1686.0	2827.0	0.0	0.0	0.0	0.0	1136.0	760.0	0.0	2490.0	0.0	7883.0	838.0	1533.0	500.0	0.0	0.0	0.0	0.0	1093.0	0.0	0.0	0.0	1858.0	4082.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2399.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16762.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	663.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	305.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	55071.0	49341.0	20541.0	80059.0	47465.0	28692.0	75275.0	33006.0	12760.0	31585.0	40553.0	52548.0	21425.0	39241.0	7940.0	79223.0	94012.0	27671.0	16209.0	8408.0	73149.0	41200.0	38807.0	46197.0	90013.0	28096.0	51155.0	4823.0	11640.0	53402.0	24884.0	25008.0	111990.0	0.0	53858.0	15049.0	15953.0	57854.0	55547.0	37218.0	36170.0	8545.0	41095.0	10960.0	17722.0	10722.0	8597.0	39349.0	5747.0	38067.0	15722.0	45669.0	36359.0	89981.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Micrococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0	0.0	166.0	625.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	327.0	868.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	381.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	177.0	0.0
