# Constructed from biom file
#OTU ID	SRR23072974	SRR23072976	SRR23072977	SRR23072978	SRR23072979	SRR23072980	SRR23072981	SRR23072982	SRR23072983	SRR23072984	SRR23072985	SRR23072986	SRR23072987	SRR23072988	SRR23072989	SRR23072990	SRR23072991	SRR23072992	SRR23072993	SRR23072994	SRR23072995	SRR23072996	SRR23072997	SRR23072998	SRR23073000	SRR23073001	SRR23073002	SRR23073003	SRR23073004	SRR23073005	SRR23073006	SRR23073007	SRR23073008	SRR23073009	SRR23073010	SRR23073011	SRR23073012	SRR23073013	SRR23073014	SRR23073015	SRR23073016	SRR23073017	SRR23073018	SRR23073020	SRR23073021	SRR23073022	SRR23073023	SRR23073024	SRR23073025	SRR23073026	SRR23073027	SRR23073028	SRR23073029	SRR23073030	SRR23073034	SRR23073035	SRR23073036	SRR23073037	SRR23073038	SRR23073039	SRR23073040	SRR23073044	SRR23073045	SRR23073046	SRR23073048	SRR23073049	SRR23073050	SRR23073052	SRR23073053	SRR23073054	SRR23073055	SRR23073057	SRR23073058	SRR23073059	SRR23073060	SRR23073062	SRR23073063	SRR23073064	SRR23073065	SRR23073066	SRR23073067	SRR23073068	SRR23073069	SRR23073070	SRR23073071	SRR23073073	SRR23073074	SRR23073076	SRR23073077	SRR23073078	SRR23073079	SRR23073080	SRR23073081	SRR23073082	SRR23073083	SRR23073084	SRR23073085	SRR23073086	SRR23073087	SRR23073088	SRR23073089	SRR23073090	SRR23073092	SRR23073093	SRR23073094	SRR23073096	SRR23073097	SRR23073098	SRR23073099	SRR23073100	SRR23073101	SRR23073102	SRR23073105	SRR23073107	SRR23073108	SRR23073109	SRR23073111	SRR23073112	SRR23073113	SRR23073114	SRR23073115	SRR23073116	SRR23073119	SRR23073120	SRR23073121
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	492.0	0.0	156.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	130.0	0.0	0.0	0.0	393.0	307.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	1312.0	0.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0.0	0.0	1304.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.0	1654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	943.0	0.0	0.0	0.0	0.0	0.0	0.0	1270.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	675.0	0.0	0.0	40.0	0.0	0.0	1221.0	0.0	0.0	457.0	0.0	0.0	0.0	1123.0	425.0	452.0	0.0	65.0	0.0	209.0	169.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	2702.0	2039.0	1388.0	1140.0	1756.0	27387.0	647.0	1635.0	2848.0	135.0	14101.0	700.0	943.0	4828.0	11680.0	3130.0	43333.0	12656.0	10314.0	24692.0	34160.0	30007.0	23724.0	40109.0	26673.0	6231.0	4719.0	14573.0	106.0	3375.0	3493.0	31977.0	8606.0	1570.0	13980.0	849.0	6883.0	9376.0	1309.0	3096.0	789.0	339.0	20248.0	50.0	0.0	2645.0	5404.0	3486.0	1329.0	30680.0	3451.0	4925.0	32559.0	3558.0	282.0	0.0	6933.0	4036.0	697.0	192.0	449.0	1351.0	3484.0	766.0	1371.0	1606.0	742.0	1279.0	13783.0	411.0	23525.0	8133.0	3465.0	457.0	12285.0	20278.0	721.0	7200.0	0.0	32380.0	394.0	16532.0	4557.0	242.0	3658.0	1667.0	0.0	14756.0	5695.0	17672.0	3372.0	12892.0	855.0	1660.0	14664.0	723.0	22291.0	2981.0	6236.0	31372.0	22764.0	87.0	7519.0	5060.0	1735.0	1560.0	11091.0	155.0	0.0	0.0	846.0	6121.0	559.0	2253.0	2696.0	476.0	209.0	984.0	1723.0	1433.0	1039.0	1689.0	12778.0	9050.0	39465.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	0.0	0.0	389.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	295.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	541.0	0.0	1801.0	0.0	100.0	2643.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	221.0	0.0	1802.0	0.0	0.0	501.0	153.0	0.0	0.0	4045.0	81.0	100.0	0.0	0.0	80.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	452.0	147.0	87.0	0.0	0.0	284.0	0.0	231.0	2521.0	173.0	0.0	2149.0	68.0	0.0	0.0	714.0	0.0	238.0	1079.0	0.0	0.0	306.0	0.0	0.0	0.0	301.0	1274.0	107.0	193.0	0.0	21.0	0.0	230.0	0.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4903.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	235.0	0.0	56.0	0.0	177.0	187.0	342.0	801.0	646.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__	3686.0	0.0	5434.0	14388.0	3100.0	0.0	3113.0	4253.0	2039.0	1039.0	430.0	1309.0	0.0	1264.0	0.0	0.0	3637.0	0.0	0.0	1230.0	0.0	0.0	0.0	1475.0	0.0	0.0	436.0	0.0	2198.0	2812.0	6123.0	2332.0	4977.0	8898.0	404.0	0.0	2772.0	9269.0	3758.0	2518.0	1593.0	1338.0	2408.0	0.0	0.0	0.0	0.0	0.0	1765.0	0.0	652.0	0.0	0.0	0.0	4126.0	8699.0	0.0	5744.0	0.0	0.0	3680.0	604.0	0.0	0.0	0.0	1075.0	0.0	0.0	0.0	3237.0	0.0	0.0	2786.0	0.0	0.0	494.0	1868.0	3128.0	2696.0	0.0	1341.0	0.0	2037.0	0.0	1778.0	2235.0	8146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	612.0	0.0	0.0	2505.0	3875.0	709.0	0.0	671.0	0.0	0.0	5829.0	8380.0	0.0	16454.0	920.0	584.0	0.0	0.0	0.0	0.0	1239.0	6241.0	559.0	0.0	1519.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	1854.0	643.0	0.0	0.0	0.0	4099.0	1768.0	457.0	0.0	165.0	138.0	0.0	975.0	0.0	2386.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	62.0	0.0	0.0	61.0	924.0	472.0	587.0	459.0	436.0	880.0	1914.0	516.0	776.0	3777.0	0.0	0.0	0.0	49.0	457.0	0.0	0.0	0.0	0.0	11280.0	24.0	0.0	551.0	0.0	1946.0	196.0	14411.0	368.0	7078.0	13493.0	0.0	11690.0	13938.0	9755.0	7037.0	5079.0	4919.0	546.0	0.0	967.0	0.0	0.0	0.0	0.0	0.0	3456.0	0.0	0.0	295.0	69.0	4412.0	17222.0	443.0	443.0	0.0	0.0	12198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.0	0.0	0.0	0.0	0.0	0.0	47.0	799.0	0.0	1923.0	0.0	0.0	0.0	0.0	0.0	765.0	0.0	14459.0	0.0	17966.0	22415.0	12421.0	4183.0	6751.0	6967.0	473.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	6556.0	6486.0	9131.0	11329.0	3949.0	1757.0	6639.0	5621.0	1612.0	2931.0	2008.0	3856.0	0.0	3381.0	5402.0	5651.0	2140.0	7266.0	0.0	5777.0	4903.0	826.0	6132.0	6019.0	243.0	10331.0	826.0	3720.0	17959.0	20561.0	377.0	2801.0	15231.0	6580.0	761.0	8628.0	8336.0	6139.0	2968.0	6432.0	11877.0	3815.0	927.0	103.0	0.0	12043.0	2947.0	12019.0	7190.0	77.0	1754.0	1482.0	2183.0	12875.0	2809.0	8532.0	11984.0	9909.0	3334.0	2095.0	11841.0	5225.0	12047.0	1580.0	1424.0	1281.0	5310.0	4862.0	5537.0	2913.0	2271.0	6052.0	538.0	239.0	2982.0	1080.0	16093.0	9959.0	5060.0	8494.0	3805.0	4115.0	7044.0	2730.0	11583.0	10704.0	5516.0	35832.0	2812.0	4082.0	2472.0	11425.0	1830.0	1822.0	6041.0	3551.0	681.0	5946.0	7674.0	6137.0	3393.0	3977.0	2643.0	11412.0	1118.0	7350.0	1373.0	4568.0	4540.0	0.0	4344.0	5155.0	2265.0	5108.0	13043.0	2078.0	2021.0	1944.0	5332.0	2044.0	4009.0	4119.0	3313.0	10244.0	2217.0
