# Constructed from biom file
#OTU ID	SRR23310651	SRR23310652	SRR23310663	SRR23310673	SRR23310674	SRR23310675	SRR23310676	SRR23310677	SRR23310678	SRR23310679	SRR23310680	SRR23310681	SRR23310682	SRR23310683	SRR23310685	SRR23310686	SRR23310687	SRR23310688	SRR23310689	SRR23310690	SRR23310692	SRR23310693	SRR23310694	SRR23310695	SRR23310696	SRR23310697	SRR23310698	SRR23310699	SRR23310700	SRR23310701	SRR23310702	SRR23310703	SRR23310704	SRR23310705	SRR23310716	SRR23310717	SRR23310718	SRR23310719	SRR23310720	SRR23310721	SRR23310722	SRR23310723	SRR23310724	SRR23310725	SRR23310726	SRR23310727	SRR23310728	SRR23310729	SRR23310730	SRR23310731	SRR23310732	SRR23310733	SRR23310734	SRR23310735	SRR23310736	SRR23310738	SRR23310749	SRR23310750	SRR23310751
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	926.0	294.0	39.0	1718.0	97.0	446.0	0.0	153.0	222.0	0.0	0.0	152.0	78.0	54.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2980.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	40.0	13805.0	81.0	55.0	189.0	447.0	988.0	64.0	369.0	8027.0	247.0	871.0	1702.0	1643.0	0.0	29.0	1407.0	217.0	0.0	1381.0	0.0	0.0	6.0	38.0	54.0	297.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	98.0	0.0	0.0	0.0	0.0	0.0	544.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella	845.0	19.0	77.0	23.0	35.0	50.0	0.0	44.0	0.0	0.0	0.0	24.0	0.0	65.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	21.0	0.0	0.0	0.0	38.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	29.0	33.0	64.0	0.0	0.0	0.0	56.0	0.0	14.0	703.0	299.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	17.0	0.0	87.0	24.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Bergeyella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4511.0	0.0	93.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	912.0	1802.0	234.0	2386.0	553.0	2006.0	3250.0	1311.0	4895.0	0.0	0.0	95.0	0.0	80.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	550.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	41.0	213.0	171.0	49.0	3220.0	1061.0	3496.0	1422.0	475.0	1472.0	4445.0	2668.0	0.0	1940.0	7053.0	635.0	0.0	1136.0	74.0	7294.0	65.0	5613.0	1640.0	44.0	8643.0	537.0	1340.0	0.0	88.0
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__MIZ17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1774.0	6717.0	128.0	8391.0	2852.0	6888.0	17766.0	7142.0	21704.0	0.0	25905.0	5437.0	3127.0	36625.0	303.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	3610.0	0.0	272.0	0.0	0.0	764.0	0.0	0.0	42.0	0.0	171.0	9330.0	19042.0	3413.0	19861.0	9848.0	9903.0	18543.0	6763.0	27273.0	10392.0	7912.0	4938.0	5760.0	0.0	10773.0	25408.0	4647.0	22.0	5399.0	5336.0	0.0	3031.0	2099.0	1884.0	9146.0	2220.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	1114.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	476.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Kribbella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	6196.0	8169.0	717.0	25590.0	5595.0	16396.0	734.0	15252.0	18712.0	0.0	27606.0	301.0	166.0	443.0	507.0	118.0	0.0	57.0	0.0	0.0	57.0	200.0	10854.0	0.0	0.0	0.0	163.0	285.0	412.0	0.0	0.0	259.0	255.0	15200.0	46300.0	13341.0	516.0	22525.0	1704.0	39840.0	19248.0	20329.0	8031.0	15029.0	6540.0	3634.0	65.0	15017.0	184.0	65751.0	64.0	22723.0	16581.0	0.0	873.0	9732.0	17837.0	48493.0	5769.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	715.0	2492.0	70.0	245.0	0.0	1841.0	107.0	754.0	1462.0	0.0	168.0	163.0	49.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	417.0	0.0	1303.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0	28.0	3437.0	1210.0	57.0	81.0	1387.0	46.0	1177.0	496.0	1576.0	0.0	304.0	153.0	476.0	0.0	1428.0	6579.0	0.0	0.0	1788.0	0.0	0.0	0.0	224.0	1709.0	199.0	115.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga	0.0	0.0	0.0	0.0	0.0	0.0	365.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	617.0	0.0	0.0	7.0	0.0	64.0	0.0	487.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	256.0	794.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	226.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	28.0	0.0	10.0	23.0	77.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	65.0	0.0	127.0	0.0	0.0	0.0	204.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	325.0	0.0	0.0	309.0	35.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	24.0	0.0	40.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	310.0	0.0	0.0	12.0	0.0	1388.0	0.0	144.0	60.0	14.0	0.0
