# Constructed from biom file
#OTU ID	ERR2206632	ERR2206633	ERR2206636	ERR2206637	ERR2206638	ERR2206639	ERR2206640	ERR2206642	ERR2206644	ERR2206645	ERR2206646	ERR2206647	ERR2206648	ERR2206649	ERR2206650	ERR2206651	ERR2206652	ERR2206653	ERR2206668	ERR2206669	ERR2206670	ERR2206671	ERR2206672
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__053A03-B-DI-P58;f__053A03-B-DI-P58;g__053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	12.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Paraglaciecola	0.0	32.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	36.0	39.0	0.0	0.0	38.0	0.0	0.0	143.0	136.0	0.0	84.0	0.0	118.0	49.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	39.0	71.0	0.0	0.0	101.0	0.0	0.0	129.0	0.0	43.0	46.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group	93.0	0.0	0.0	0.0	101.0	33.0	23.0	231.0	102.0	61.0	205.0	118.0	43.0	73.0	29.0	16.0	0.0	114.0	285.0	46.0	62.0	171.0	54.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	0.0	0.0	0.0	0.0	80.0	71.0	0.0	0.0	304.0	0.0	32.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__	475.0	484.0	366.0	103.0	334.0	340.0	234.0	321.0	519.0	469.0	448.0	382.0	605.0	178.0	482.0	270.0	875.0	265.0	632.0	172.0	686.0	1510.0	1028.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group	72.0	87.0	0.0	42.0	0.0	233.0	0.0	182.0	39.0	41.0	0.0	127.0	116.0	0.0	0.0	0.0	0.0	97.0	361.0	52.0	50.0	87.0	220.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	190.0	40.0	115.0	0.0	188.0	85.0	27.0	155.0	181.0	89.0	194.0	81.0	176.0	0.0	39.0	66.0	475.0	0.0	325.0	30.0	93.0	0.0	253.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	293.0	142.0	50.0	182.0	124.0	55.0	188.0	150.0	117.0	155.0	53.0	79.0	82.0	99.0	63.0	218.0	155.0	172.0	230.0	221.0	186.0	347.0	132.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria;g__Candidatus_Kaiserbacteria	0.0	26.0	0.0	0.0	75.0	0.0	1.0	0.0	27.0	0.0	3.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	75.0	0.0	119.0	52.0	88.0	104.0	0.0	0.0	136.0	57.0	90.0	74.0	0.0	27.0	43.0	10.0	0.0	12.0	0.0	28.0	161.0	0.0	92.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;__;__	76.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina	281.0	271.0	143.0	146.0	303.0	89.0	228.0	167.0	209.0	118.0	198.0	153.0	55.0	171.0	267.0	120.0	257.0	134.0	338.0	275.0	356.0	112.0	263.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__uncultured	0.0	0.0	0.0	0.0	86.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	131.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	276.0	364.0	91.0	323.0	214.0	147.0	247.0	443.0	183.0	228.0	159.0	375.0	213.0	179.0	725.0	370.0	575.0	500.0	362.0	230.0	614.0	794.0	290.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	946.0	1232.0	1292.0	1355.0	1175.0	1236.0	1067.0	974.0	1029.0	865.0	871.0	1059.0	1350.0	1187.0	1120.0	1279.0	245.0	147.0	281.0	195.0	143.0	440.0	55.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	32.0	83.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Nomurabacteria;f__Candidatus_Nomurabacteria;g__Candidatus_Nomurabacteria	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	27.0	66.0	53.0	54.0	50.0	59.0	70.0	43.0	47.0	25.0	22.0	0.0	7.0	34.0	50.0	0.0	0.0	0.0	0.0	72.0	74.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	153.0	77.0	117.0	116.0	112.0	223.0	159.0	101.0	116.0	62.0	150.0	225.0	141.0	124.0	55.0	177.0	0.0	0.0	0.0	2.0	0.0	40.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_II;g__Clade_II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	14.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Neptunomonas	0.0	100.0	0.0	0.0	40.0	132.0	45.0	0.0	0.0	0.0	0.0	41.0	0.0	30.0	51.0	44.0	0.0	141.0	31.0	105.0	70.0	0.0	64.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	250.0	193.0	224.0	30.0	199.0	312.0	170.0	245.0	68.0	145.0	332.0	331.0	186.0	302.0	215.0	131.0	221.0	54.0	457.0	222.0	468.0	112.0	369.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Cloacibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	55.0	42.0	33.0	134.0	67.0	86.0	11.0	121.0	63.0	17.0	79.0	0.0	3.0	25.0	16.0	176.0	69.0	33.0	160.0	113.0	28.0	39.0	35.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;__	0.0	0.0	0.0	73.0	0.0	83.0	0.0	8.0	0.0	4.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	1970.0	2088.0	2372.0	2091.0	2289.0	2082.0	1908.0	1857.0	1985.0	1934.0	1844.0	1920.0	2203.0	1931.0	1753.0	2094.0	132.0	399.0	969.0	333.0	1035.0	420.0	372.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	66.0	133.0	78.0	9.0	105.0	0.0	134.0	104.0	112.0	188.0	165.0	247.0	121.0	180.0	80.0	0.0	96.0	0.0	0.0	91.0	160.0	497.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas	0.0	0.0	0.0	214.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	38.0	0.0	193.0	0.0	51.0	0.0	87.0	85.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;__;__	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	56.0	228.0	0.0	0.0	114.0	135.0	0.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales	25.0	0.0	0.0	114.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	82.0	0.0	0.0	58.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	115.0	173.0	44.0	124.0	162.0	172.0	191.0	0.0	110.0	8.0	48.0	188.0	39.0	163.0	150.0	89.0	69.0	62.0	398.0	26.0	0.0	419.0	483.0
