# Constructed from biom file
#OTU ID	SRR26386879	SRR26386880	SRR26386881	SRR26386884	SRR26386885	SRR26386886	SRR26386888	SRR26386889	SRR26386890	SRR26386891	SRR26386892	SRR26386893	SRR26386894	SRR26386895	SRR26386896	SRR26386902	SRR26386904	SRR26386905	SRR26386906	SRR26386907	SRR26386908	SRR26386909	SRR26386910	SRR26386911	SRR26386912	SRR26386913	SRR26386914	SRR26386915	SRR26386916	SRR26386917	SRR26386918	SRR26386919	SRR26386920	SRR26386921	SRR26386922	SRR26386923	SRR26386924	SRR26386925	SRR26386926	SRR26386927	SRR26386928	SRR26386929	SRR26386930	SRR26386931	SRR26386932	SRR26386933	SRR26386934	SRR26386935	SRR26386936	SRR26386937	SRR26386938	SRR26386939	SRR26386940	SRR26386941	SRR26386942	SRR26386943	SRR26386944	SRR26386945	SRR26386946	SRR26386947	SRR26386948	SRR26386949	SRR26386950	SRR26386951	SRR26386952	SRR26386953	SRR26386954	SRR26386955	SRR26386956	SRR26386957	SRR26386958	SRR26386959	SRR26386960	SRR26386961	SRR26386962	SRR26386963	SRR26386964	SRR26386965	SRR26386966	SRR26386967	SRR26386968	SRR26386969	SRR26386970	SRR26386971	SRR26386972	SRR26386976	SRR26386977	SRR26386978	SRR26386979	SRR26386981	SRR26386982	SRR26386983	SRR26386984	SRR26386985	SRR26386986	SRR26386987	SRR26386988	SRR26386989	SRR26386990	SRR26386992	SRR26386993	SRR26386998	SRR26387006	SRR26387007	SRR26387009	SRR26387010	SRR26387011	SRR26387012	SRR26387013	SRR26387015	SRR26387016	SRR26387017	SRR26387019	SRR26387020	SRR26387021	SRR26387022	SRR26387023	SRR26387024	SRR26387025	SRR26387026	SRR26387027	SRR26387028	SRR26387029	SRR26387031	SRR26387032	SRR26387033	SRR26387034	SRR26387035	SRR26387037	SRR26387038	SRR26387039	SRR26387040	SRR26387041	SRR26387042	SRR26387043	SRR26387044	SRR26387045	SRR26387047	SRR26387048	SRR26387049	SRR26387050	SRR26387051	SRR26387052	SRR26387053	SRR26387055	SRR26387057	SRR26387058	SRR26387059	SRR26387060	SRR26387061	SRR26387062	SRR26387067	SRR26387070	SRR26387071	SRR26387072	SRR26387073	SRR26387074	SRR26387075	SRR26387076	SRR26387078
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	7.0	13.0	0.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	3.0	0.0	0.0	0.0	8.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	32.0	0.0	2.0	2.0	11.0	0.0	10.0	11.0	0.0	3.0	5.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	180.0	16.0	40.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	30.0	24.0	2.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	10.0	0.0	163.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	23.0	27.0	0.0	14.0	0.0	16.0	44.0	12.0	46.0	0.0	14.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	35.0	10.0	27.0	38.0	39.0	0.0	3.0	37.0	14.0	20.0	12.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	8.0	0.0	0.0	29.0	0.0	0.0	0.0	180.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	16.0	9079.0	143.0	3.0	0.0	182.0	830.0	8.0	145.0	0.0	6.0	3021.0	17.0	0.0	68.0	4.0	4.0	1.0	22.0	31.0	60.0	0.0	51.0	739.0	0.0	15.0	12.0	0.0	30.0	81.0	97.0	0.0	13.0	6.0	0.0	129.0	29.0	82.0	0.0	15.0	62.0	3.0	0.0	530.0	0.0	25.0	0.0	26.0	15.0	0.0	5.0	0.0	2.0	55.0	5.0	1575.0	0.0	4.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	59.0	8.0	8.0	0.0	1.0	10.0	32.0	14.0	0.0	0.0	1.0	0.0	7.0	3.0	1.0	0.0	17.0	0.0	0.0	19.0	0.0	30.0	6267.0	23.0	20.0	140.0	522.0	0.0	0.0	128.0	61.0	0.0	56.0	1.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	3.0	464.0	0.0	0.0	2.0	0.0	0.0	29.0	10.0	10.0	356.0	5.0	110.0	1977.0	0.0	0.0	63.0	0.0	166.0	1267.0	183.0	449.0	575.0	148.0	346.0	486.0	5.0	93.0	900.0	83.0	48.0	159.0	87.0	69.0	11.0	45.0	13.0	20.0	0.0	21.0	0.0	0.0	20.0	9.0	0.0	0.0	76.0	282.0	0.0	425.0	4.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	31.0	0.0	9.0	3.0	0.0	17.0	13.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_UCG-009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	45.0	11.0	29.0	236.0	136.0	46.0	304.0	162.0	0.0	0.0	233.0	121.0	275.0	73.0	18.0	27.0	3.0	1.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Thermoactinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	1908.0	25.0	2846.0	455.0	779.0	288.0	117.0	4582.0	1083.0	7228.0	809.0	387.0	6368.0	634.0	6542.0	6331.0	34.0	195.0	2731.0	8239.0	846.0	3384.0	100.0	509.0	6.0	5874.0	1622.0	2957.0	5317.0	0.0	2177.0	768.0	308.0	597.0	1063.0	2395.0	411.0	5266.0	4846.0	1684.0	3164.0	679.0	8477.0	7462.0	846.0	3231.0	8475.0	5373.0	506.0	6222.0	6561.0	7334.0	1547.0	2208.0	5129.0	431.0	5900.0	6257.0	5890.0	6231.0	1753.0	7530.0	5154.0	3367.0	8368.0	61.0	326.0	3850.0	6128.0	6636.0	7691.0	8299.0	9027.0	5919.0	451.0	3299.0	4809.0	123.0	5193.0	1236.0	4177.0	4450.0	6999.0	7322.0	366.0	5408.0	0.0	1084.0	2550.0	1368.0	111.0	91.0	1538.0	533.0	229.0	183.0	1757.0	687.0	7285.0	0.0	669.0	4796.0	3582.0	1906.0	2836.0	149.0	733.0	55.0	4430.0	688.0	3793.0	1569.0	247.0	4968.0	5648.0	5135.0	2495.0	59.0	4153.0	2513.0	999.0	7482.0	385.0	9181.0	120.0	4681.0	2496.0	115.0	110.0	883.0	316.0	2865.0	520.0	59.0	180.0	7761.0	7656.0	342.0	3335.0	302.0	1703.0	4088.0	3931.0	6224.0	7685.0	2836.0	6893.0	3640.0	7045.0	818.0	113.0	2008.0	1359.0	229.0	3276.0	186.0	4687.0	8600.0	596.0	2214.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	6.0	0.0	6.0	0.0	19.0	0.0	0.0	5.0	1292.0	0.0	0.0	0.0	32.0	0.0	25.0	1.0	6.0	0.0	27.0	0.0	1888.0	1069.0	0.0	19.0	2.0	1204.0	7.0	0.0	3555.0	0.0	12.0	0.0	0.0	5.0	0.0	5.0	0.0	10.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	478.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1605.0	0.0	2.0	66.0	4.0	0.0	0.0	1.0	0.0	0.0	43.0	0.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5759.0	0.0	0.0	22.0	0.0	98.0	0.0	13.0	632.0	0.0	0.0	21.0	0.0	0.0	4.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	63.0	0.0	5546.0	15.0	0.0	0.0	0.0	2.0	0.0	0.0	145.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	20.0	13.0	63.0	14.0	1.0	0.0	81.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	0.0	100.0	213.0	0.0	148.0	0.0	6.0	0.0	1.0	0.0	0.0	8872.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	6.0	0.0	11.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	33.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	10.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	5.0	0.0	11.0	23.0	9.0	144.0	45.0	52.0	271.0	173.0	0.0	0.0	168.0	43.0	219.0	62.0	13.0	19.0	0.0	0.0	6.0	0.0	0.0	7.0	0.0	0.0	8.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
