# Constructed from biom file
#OTU ID	SRR9118158	SRR9118159	SRR9118161	SRR9118164	SRR9118165	SRR9118168	SRR9118169	SRR9118170	SRR9118176	SRR9118179	SRR9118181	SRR9118182	SRR9118184	SRR9118187
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	3200.0	0.0	2738.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2974.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax	0.0	6.0	5.0	0.0	0.0	0.0	55.0	0.0	0.0	29.0	0.0	0.0	12.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;__	0.0	18.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	50.0	0.0	0.0	49.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	1378.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	5.0	31.0	17.0	38.0	0.0	0.0	468.0	0.0	23.0	299.0	167.0	63.0	334.0	1505.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0.0	1.0	2810.0	8107.0	0.0	0.0	31.0	1751.0	0.0	657.0	72.0	306.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	4294.0	0.0	17.0	17.0	768.0	5299.0	0.0	0.0	5171.0	0.0	0.0	92.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia	0.0	20.0	0.0	2.0	0.0	0.0	166.0	0.0	0.0	146.0	0.0	0.0	44.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia	1044.0	2176.0	2.0	6.0	0.0	0.0	326.0	3828.0	6852.0	115.0	0.0	1187.0	2311.0	299.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	3425.0	0.0	3504.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	0.0	55.0	9.0	39.0	0.0	0.0	290.0	13.0	30.0	482.0	306.0	82.0	482.0	84.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Asinibacterium	0.0	6.0	0.0	1.0	0.0	0.0	81.0	0.0	0.0	32.0	0.0	0.0	54.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	5.0	314.0	0.0	0.0	3271.0	426.0	18.0	6.0	136.0	1697.0	0.0	3093.0	1025.0	152.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;__	617.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0	21.0	0.0	1268.0	1038.0	302.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	0.0	1.0	0.0	2.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Solimonadaceae;g__Nevskia	0.0	7.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__;__	935.0	669.0	0.0	0.0	0.0	0.0	24.0	395.0	0.0	125.0	80.0	1168.0	2710.0	166.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__	0.0	0.0	0.0	0.0	0.0	3209.0	0.0	0.0	0.0	0.0	0.0	1136.0	0.0	228.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	0.0	6.0	0.0	2.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.0	2.0	0.0	2.0	0.0	2628.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;__	0.0	0.0	0.0	0.0	3465.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0.0	0.0	0.0	0.0	0.0	1671.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
