# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	2037.0	571.0	51.0	1446.0	1861.0	5597.0	4765.0	1376.0	4331.0	810.0	941.0	801.0	1654.0	1471.0	2140.0	1377.0	1973.0	468.0	415.0	1035.0	451.0	770.0	9058.0	1305.0	1469.0	844.0	1680.0	12653.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum	495.0	0.0	0.0	527.0	800.0	4310.0	2250.0	3567.0	2775.0	301.0	639.0	1604.0	2598.0	1035.0	780.0	139.0	2430.0	204.0	426.0	1440.0	485.0	316.0	20485.0	2481.0	1848.0	1389.0	294.0	5603.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	300.0	239.0	55723.0	52011.0	179317.0	11159.0	69798.0	37271.0	35570.0	12613.0	19857.0	24318.0	28825.0	31269.0	19571.0	45621.0	24213.0	11823.0	30677.0	19452.0	19889.0	25698.0	21652.0	56224.0	62031.0	101048.0	40022.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	331.0	180.0	716.0	109.0	24.0	2796.0	211.0	38.0	1493.0	354.0	171.0	285.0	899.0	202.0	3005.0	2140.0	5212.0	0.0	9828.0	223.0	372.0	216.0	306.0	102.0	528.0	0.0	1642.0	640.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	64397.0	5819.0	0.0	117171.0	27860.0	160225.0	53191.0	79224.0	93414.0	44725.0	8682.0	57688.0	172129.0	45829.0	87691.0	41040.0	84175.0	27001.0	25450.0	80385.0	17219.0	64915.0	165663.0	40017.0	20131.0	138094.0	150233.0	94136.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	30.0	0.0	0.0	33.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	148.0	0.0	0.0	0.0	378.0	51.0	4.0	10.0	68.0	69.0	0.0	21.0	12.0	0.0	82.0	0.0	10.0	510.0	6.0	39.0	0.0	152.0	44.0	47.0	301.0	3508.0	948.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	27202.0	18942.0	14568.0	17446.0	7619.0	801.0	15957.0	35598.0	173.0	11476.0	15385.0	10935.0	323.0	92.0	4221.0	89995.0	2337.0	6126.0	10447.0	243.0	29332.0	3331.0	11342.0	16964.0	468.0	3754.0	10845.0	21337.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	24657.0	4043.0	0.0	12363.0	6899.0	5034.0	25779.0	2861.0	22639.0	3072.0	4538.0	4694.0	19602.0	912.0	9867.0	11026.0	5930.0	243.0	20867.0	3560.0	4116.0	7144.0	39476.0	8189.0	6024.0	7841.0	12052.0	28168.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group	0.0	0.0	0.0	3815.0	1287.0	2330.0	799.0	523.0	1103.0	897.0	1308.0	1798.0	7303.0	0.0	1333.0	574.0	1374.0	71.0	147.0	252.0	240.0	934.0	0.0	128.0	0.0	645.0	0.0	1645.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	91.0	2056.0	4080.0	1273.0	101.0	2127.0	691.0	12421.0	168.0	1253.0	12024.0	28.0	181.0	1734.0	1945.0	0.0	1153.0	238.0	56.0	0.0	472.0	3079.0	298.0	378.0	2413.0	391.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	635.0	0.0	91.0	0.0	0.0	59.0	0.0	41.0	0.0	0.0	14.0	0.0	0.0	0.0	95.0	0.0	304.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	3257.0	4087.0	2202.0	0.0	15.0	238.0	5.0	0.0	6.0	13.0	24.0	2.0	10.0	8.0	4.0	5.0	0.0	0.0	21.0	0.0	24.0	0.0	36.0	24.0	7.0	635.0	9930.0	1286.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	6142.0	0.0	0.0	27281.0	9492.0	30368.0	6479.0	10078.0	25153.0	8276.0	5698.0	6590.0	15399.0	10083.0	12397.0	3881.0	9989.0	4454.0	2411.0	8427.0	7032.0	6586.0	22920.0	20709.0	13963.0	0.0	0.0	8663.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	1643.0	1010.0	0.0	19438.0	5825.0	16686.0	9391.0	3147.0	16765.0	20174.0	13442.0	13887.0	14397.0	2252.0	12250.0	11573.0	9731.0	4040.0	3598.0	7655.0	2915.0	4370.0	36472.0	10329.0	1694.0	17463.0	4343.0	20700.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0.0	0.0	0.0	27.0	0.0	883.0	0.0	0.0	334.0	133.0	0.0	17.0	133.0	44.0	312.0	239.0	0.0	0.0	807.0	0.0	35.0	3.0	0.0	0.0	28.0	503.0	576.0	0.0
