# Constructed from biom file
#OTU ID	ERR2206632	ERR2206633	ERR2206636	ERR2206637	ERR2206638	ERR2206639	ERR2206640	ERR2206642	ERR2206644	ERR2206645	ERR2206646	ERR2206647	ERR2206648	ERR2206649	ERR2206650	ERR2206651	ERR2206652	ERR2206653	ERR2206668	ERR2206669	ERR2206670	ERR2206671	ERR2206672
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__053A03-B-DI-P58;f__053A03-B-DI-P58;g__053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	501.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	96.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	767.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Paraglaciecola	0.0	149.0	0.0	0.0	345.0	0.0	0.0	0.0	0.0	486.0	292.0	0.0	0.0	159.0	0.0	0.0	604.0	379.0	0.0	1160.0	0.0	1065.0	210.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnobacter	0.0	0.0	0.0	0.0	798.0	0.0	0.0	0.0	0.0	0.0	236.0	661.0	0.0	0.0	566.0	0.0	0.0	342.0	0.0	741.0	409.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__NS5_marine_group	1007.0	0.0	0.0	0.0	992.0	155.0	382.0	1742.0	1286.0	1029.0	1918.0	1102.0	427.0	300.0	169.0	96.0	0.0	325.0	2773.0	945.0	527.0	1672.0	185.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	0.0	0.0	0.0	0.0	288.0	1140.0	0.0	0.0	4179.0	0.0	310.0	493.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;__	4798.0	2259.0	4258.0	876.0	2907.0	1580.0	3888.0	2440.0	6729.0	6544.0	3461.0	3797.0	6103.0	767.0	2866.0	1282.0	3236.0	752.0	6004.0	3169.0	5391.0	13887.0	4095.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group	801.0	395.0	0.0	301.0	0.0	1025.0	0.0	1408.0	496.0	606.0	0.0	1125.0	1194.0	0.0	0.0	0.0	0.0	286.0	3201.0	821.0	321.0	750.0	877.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	1788.0	184.0	1295.0	0.0	1904.0	296.0	524.0	1281.0	2361.0	1305.0	1486.0	763.0	1705.0	0.0	240.0	288.0	1982.0	0.0	3267.0	541.0	687.0	0.0	1037.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	2812.0	624.0	634.0	1554.0	1223.0	218.0	3130.0	1271.0	1390.0	2226.0	443.0	848.0	827.0	508.0	386.0	1055.0	575.0	496.0	1868.0	3730.0	1451.0	3338.0	616.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Kaiserbacteria;f__Candidatus_Kaiserbacteria;g__Candidatus_Kaiserbacteria	0.0	91.0	17.0	0.0	633.0	0.0	25.0	0.0	378.0	0.0	33.0	557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	31.0
