# Constructed from biom file
#OTU ID	ERR2850005	ERR2850006	ERR2850008	ERR2850009	ERR2850010	ERR2850013	ERR2850014	ERR2850015	ERR2850016	ERR2850017	ERR2850019	ERR2850020	ERR2850021	ERR2850022	ERR2850023	ERR2850024	ERR2850025	ERR2850026	ERR2850030	ERR2850031	ERR2850032	ERR2850035	ERR2850036	ERR2850037	ERR2850038	ERR2850039	ERR2850040	ERR2850041	ERR2850043	ERR2850044	ERR2850046	ERR2850047	ERR2850048	ERR2850049	ERR2850051	ERR2850052	ERR2850054	ERR2850058	ERR2850059	ERR2850060
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Ignavigranum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	41927.0	14615.0	1492.0	13954.0	556.0	5393.0	27064.0	59713.0	10148.0	147836.0	22890.0	6593.0	3428.0	17266.0	0.0	82.0	6950.0	7479.0	0.0	5603.0	17061.0	254072.0	60972.0	214448.0	3982.0	34749.0	847.0	36.0	41577.0	395.0	3450.0	10.0	2962.0	5201.0	21173.0	40603.0	6277.0	15202.0	92817.0	148930.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0	43.0	0.0	106.0	34.0	0.0	0.0	0.0	0.0	246.0	15.0	285.0	40.0	13.0	152.0	0.0	0.0	0.0	16.0	0.0	0.0	3.0	0.0	9698.0	4.0	25.0	6.0	1458.0	513.0	764.0	0.0	19.0	8.0	56.0	59.0	7.0	0.0	64.0	28.0	9.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	23.0	0.0	176.0	0.0	0.0	4.0	21.0	5.0	260.0	0.0	121.0	11.0	101.0	155.0	0.0	0.0	0.0	13887.0	0.0	0.0	8.0	24.0	21205.0	0.0	38.0	35.0	2124.0	365.0	0.0	4.0	278.0	20.0	50.0	133.0	3.0	0.0	4.0	11.0	92.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	93.0	2.0	88.0	0.0	13.0	2.0	0.0	3.0	243.0	0.0	261.0	0.0	0.0	223.0	0.0	0.0	0.0	370.0	0.0	0.0	0.0	0.0	4670.0	0.0	16.0	59.0	5880.0	230.0	111.0	0.0	448.0	49.0	25.0	945.0	0.0	0.0	0.0	11.0	8.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	31158.0	28615.0	25555.0	32.0	22354.0	7549.0	0.0	0.0	28.0	117.0	5.0	1439.0	0.0	19.0	9554.0	6.0	0.0	364.0	20.0	0.0	139.0	186553.0	3.0	14749.0	6984.0	81.0	25339.0	266.0	410.0	36969.0	0.0	13.0	47300.0	63.0	8553.0	5.0	0.0	3708.0	27412.0	28.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	38007.0	4634.0	35190.0	51487.0	7661.0	84.0	88655.0	45232.0	11788.0	61136.0	24244.0	10083.0	2958.0	4003.0	0.0	13229.0	103.0	7646.0	0.0	19084.0	14999.0	23804.0	529378.0	146854.0	1171.0	30950.0	681.0	0.0	44658.0	0.0	27.0	5.0	3913.0	19186.0	88.0	0.0	10265.0	13826.0	31547.0	5939.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermabacteraceae;g__Dermabacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	0.0	8.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella	27108.0	153086.0	57332.0	27396.0	11640.0	70863.0	100936.0	48844.0	8406.0	79898.0	3869.0	35365.0	26461.0	2845.0	7987.0	38013.0	78.0	23993.0	0.0	24264.0	10569.0	72195.0	128639.0	2401.0	8323.0	1908.0	69763.0	8.0	433.0	424.0	21729.0	617.0	21252.0	56939.0	18006.0	28.0	15319.0	104463.0	37294.0	3897.0
