# Constructed from biom file
#OTU ID	SRR30981348	SRR30981410	SRR30981439	SRR30981452	SRR30981467	SRR30981488	SRR30981503	SRR30981517	SRR30981562	SRR30981587	SRR30981621	SRR30981638	SRR30981703	SRR30981744	SRR30981760	SRR30981777	SRR30981790	SRR30981808	SRR30981832	SRR30981844	SRR30981860	SRR30981871	SRR30981887	SRR30981919	SRR30981932	SRR30981936	SRR30981982	SRR30981995	SRR30982141	SRR30982149	SRR30982207	SRR30982221	SRR30982234	SRR30982270	SRR30982284	SRR30982315	SRR30983301	SRR30983323	SRR30983338	SRR30983363	SRR30983377	SRR30983390	SRR30983399	SRR30983439	SRR30983446	SRR30983463	SRR30983478	SRR30983492	SRR30983508	SRR30983517	SRR30983527	SRR30983538	SRR30983552	SRR30983576	SRR30983591	SRR30983627	SRR30983637
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	17.0	8979.0	111.0	5142.0	0.0	0.0	31.0	0.0	0.0	447.0	146.0	4523.0	0.0	312.0	436.0	166.0	566.0	0.0	568.0	0.0	0.0	905.0	82.0	261.0	0.0	948.0	8.0	386.0	10115.0	0.0	390.0	920.0	26.0	0.0	0.0	228.0	0.0	0.0	0.0	3594.0	0.0	6333.0	0.0	1976.0	1004.0	0.0	0.0	685.0	0.0	0.0	0.0	0.0	20413.0	0.0	36.0	865.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	65.0	158.0	137.0	57.0	0.0	0.0	68.0	0.0	14.0	0.0	155.0	85.0	68.0	238.0	234.0	193.0	349.0	3.0	489.0	0.0	5.0	720.0	3.0	26.0	0.0	10.0	272.0	17.0	79.0	0.0	0.0	512.0	0.0	0.0	0.0	266.0	0.0	90.0	10.0	121.0	222.0	26.0	81.0	35.0	54.0	156.0	16.0	13.0	794.0	77.0	70.0	44.0	32.0	84.0	60.0	47.0	57.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	25.0	0.0	0.0	51.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	370.0	79.0	433.0	57.0	89.0	166.0	1001.0	0.0	0.0	133.0	135.0	54.0	80.0	301.0	338.0	105.0	655.0	9.0	653.0	102.0	19.0	427.0	35.0	27.0	8.0	0.0	77.0	24.0	272.0	0.0	0.0	595.0	283.0	0.0	0.0	628.0	45.0	65.0	356.0	94.0	411.0	82.0	177.0	25.0	81.0	288.0	134.0	6.0	1301.0	331.0	123.0	145.0	64.0	146.0	136.0	180.0	149.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3081.0	0.0	0.0	0.0	0.0	4857.0	4233.0	0.0	0.0	0.0	0.0	0.0	0.0	9378.0	659.0	11425.0	289.0	0.0	0.0	0.0	0.0	4810.0	0.0	98.0	0.0	10599.0	4422.0	0.0	0.0	10959.0	0.0	0.0	0.0	0.0	233.0	4951.0	0.0	0.0	0.0	6615.0	0.0	0.0	40.0	0.0	0.0	20683.0	30.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Ezakiella	0.0	10.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	7.0	55.0	0.0	0.0	0.0	0.0	14.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;__;__;__	0.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	3301.0	0.0	0.0	0.0	0.0	0.0	0.0	421.0	0.0	819.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	211.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	2251.0	527.0	1076.0	656.0	345.0	109.0	1273.0	0.0	0.0	828.0	483.0	499.0	465.0	1571.0	1582.0	600.0	2121.0	15.0	2010.0	181.0	19.0	37.0	97.0	231.0	63.0	0.0	469.0	73.0	854.0	101.0	1557.0	2295.0	78.0	0.0	0.0	886.0	236.0	852.0	1098.0	318.0	2332.0	408.0	738.0	123.0	200.0	2806.0	1450.0	130.0	7007.0	1015.0	590.0	823.0	143.0	1129.0	766.0	619.0	869.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Fretibacterium	12.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	73.0	28.0	27.0	0.0	12.0	109.0	448.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	102.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
