# Constructed from biom file
#OTU ID	SRR32061832	SRR32061833	SRR32061834	SRR32061835	SRR32061836	SRR32061837	SRR32061838	SRR32061839	SRR32061840	SRR32061841	SRR32061842	SRR32061843	SRR32061844	SRR32061845	SRR32061846	SRR32061847	SRR32061848	SRR32061849	SRR32061850	SRR32061852	SRR32061853	SRR32061854	SRR32061855	SRR32061856	SRR32061857	SRR32061858	SRR32061859	SRR32061864	SRR32061875	SRR32061886	SRR32061887	SRR32061888	SRR32061889	SRR32061890	SRR32061891	SRR32061892	SRR32061893	SRR32061894	SRR32061895	SRR32061896	SRR32061897	SRR32061898	SRR32061900	SRR32061901	SRR32061902	SRR32061903	SRR32061904	SRR32061905	SRR32061906	SRR32061907	SRR32061908	SRR32061909	SRR32061910	SRR32061911	SRR32061912	SRR32061913	SRR32061914	SRR32061915	SRR32061926	SRR32061937	SRR32061944	SRR32061945	SRR32061946	SRR32061949	SRR32061960	SRR32061971	SRR32061976	SRR32061998	SRR32062000	SRR32062001	SRR32062002	SRR32062003	SRR32062004	SRR32062005	SRR32062006	SRR32062007	SRR32062008	SRR32062009	SRR32062010	SRR32062011	SRR32062012	SRR32062013	SRR32062014	SRR32062016	SRR32062017	SRR32062018	SRR32062019	SRR32062030	SRR32062041	SRR32062054	SRR32062056	SRR32062057	SRR32062058	SRR32062059	SRR32062061	SRR32062062	SRR32062063	SRR32062064	SRR32062066	SRR32062067	SRR32062068	SRR32062070	SRR32062072	SRR32062073	SRR32062074	SRR32062075	SRR32062076	SRR32062077	SRR32062078	SRR32062079	SRR32062080	SRR32062081	SRR32062082	SRR32062083	SRR32062084	SRR32062085	SRR32062086	SRR32062087	SRR32062088	SRR32062089	SRR32062090	SRR32062091	SRR32062093	SRR32062094	SRR32062095	SRR32062096	SRR32062097	SRR32062098	SRR32062099	SRR32062101	SRR32062102	SRR32062103
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	88.0	315.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	2301.0	7722.0	466.0	665.0	443.0	5688.0	4283.0	144.0	2658.0	1908.0	73.0	2031.0	6114.0	1736.0	3316.0	330.0	863.0	456.0	9437.0	312.0	3285.0	3913.0	5792.0	14617.0	20947.0	11978.0	5220.0	2656.0	17583.0	7361.0	10188.0	0.0	4666.0	6267.0	8841.0	1017.0	6851.0	6768.0	854.0	194.0	1054.0	11169.0	18732.0	17073.0	1757.0	3224.0	563.0	9019.0	329.0	4455.0	18967.0	18409.0	19205.0	2291.0	2291.0	1532.0	94.0	1426.0	1152.0	1469.0	9102.0	10629.0	14247.0	5847.0	1935.0	7687.0	5447.0	775.0	17468.0	9055.0	41459.0	2938.0	17166.0	1641.0	17383.0	7949.0	836.0	692.0	567.0	1133.0	1568.0	314.0	856.0	5780.0	16012.0	10090.0	3572.0	16519.0	1266.0	3265.0	5275.0	174.0	21309.0	15401.0	2516.0	312.0	3190.0	6742.0	4267.0	27996.0	1213.0	5004.0	4310.0	1338.0	2972.0	3436.0	1785.0	1907.0	821.0	1527.0	2368.0	2975.0	4366.0	10115.0	18507.0	28188.0	3939.0	68.0	1304.0	1346.0	827.0	1582.0	9541.0	5356.0	70214.0	26811.0	1277.0	183.0	9484.0	1752.0	570.0	10776.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	12.0	177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.0	0.0	0.0	0.0	381.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadales;g__Saccharimonadales	0.0	282.0	0.0	0.0	0.0	0.0	77.0	15.0	70.0	0.0	0.0	71.0	282.0	0.0	0.0	0.0	0.0	0.0	57.0	9.0	0.0	0.0	430.0	0.0	92.0	61.0	0.0	271.0	120.0	0.0	118.0	0.0	210.0	46.0	0.0	17.0	28.0	80.0	73.0	0.0	109.0	886.0	0.0	143.0	0.0	0.0	0.0	186.0	16.0	482.0	0.0	50.0	191.0	0.0	0.0	0.0	0.0	41.0	35.0	0.0	0.0	0.0	0.0	331.0	0.0	68.0	58.0	0.0	132.0	64.0	507.0	0.0	669.0	43.0	174.0	36.0	0.0	0.0	33.0	0.0	48.0	0.0	0.0	0.0	0.0	72.0	537.0	80.0	31.0	18.0	33.0	0.0	0.0	97.0	0.0	0.0	93.0	150.0	0.0	338.0	0.0	29.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	103.0	78.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1232.0	238.0	0.0	0.0	0.0	0.0	0.0	132.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__	0.0	130.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	294.0	0.0	0.0	0.0	0.0	0.0	212.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	71.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	633.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	139.0	0.0	0.0	430.0	33.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	171.0	0.0	375.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	86.0	0.0	109.0	0.0	0.0	51.0	0.0	158.0	591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	100.0	1046.0	0.0	0.0	0.0	26.0	0.0	0.0	186.0	0.0	1476.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	0.0	158.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0	0.0	0.0	0.0	91.0	50.0	74.0	0.0	148.0	0.0	0.0	0.0	0.0	0.0	770.0	0.0	0.0	0.0	0.0	0.0	0.0	711.0	145.0	0.0	0.0	72.0	0.0	0.0	75.0	0.0	0.0	0.0	35.0	0.0	0.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	122.0	0.0	153.0	0.0	0.0	0.0	0.0	173.0	0.0	71.0	0.0	0.0	0.0	124.0	0.0	65.0	0.0	396.0	961.0	0.0	0.0	92.0	0.0	795.0	0.0	0.0	471.0	0.0	0.0	0.0	221.0	62.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	0.0	0.0	499.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	2483.0	1064.0	0.0	0.0	465.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__Candidatus_Saccharimonas	0.0	130.0	0.0	35.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	82.0	924.0	46.0	0.0	0.0	0.0	0.0	155.0	0.0	78.0	58.0	0.0	323.0	0.0	0.0	96.0	0.0	245.0	205.0	0.0	0.0	53.0	0.0	75.0	0.0	83.0	112.0	0.0	0.0	34.0	225.0	183.0	0.0	0.0	0.0	0.0	72.0	0.0	363.0	301.0	162.0	0.0	35.0	78.0	0.0	16.0	115.0	110.0	0.0	192.0	153.0	245.0	0.0	55.0	0.0	0.0	0.0	176.0	0.0	427.0	0.0	0.0	0.0	299.0	175.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	90.0	221.0	0.0	552.0	0.0	0.0	50.0	111.0	15.0	231.0	82.0	0.0	0.0	24.0	103.0	0.0	0.0	37.0	0.0	58.0	0.0	50.0	0.0	0.0	40.0	54.0	0.0	0.0	0.0	54.0	190.0	160.0	0.0	0.0	0.0	81.0	52.0	0.0	0.0	124.0	0.0	155.0	0.0	0.0	0.0	112.0	0.0	0.0	388.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	443.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
