# Constructed from biom file
#OTU ID	SRR12431724	SRR12431735	SRR12431760	SRR12431763	SRR12431768	SRR12431780	SRR12431781	SRR12431788	SRR12431793	SRR12431795	SRR12431796	SRR12431797	SRR12431798	SRR12431799	SRR12431807	SRR12431816	SRR12431838	SRR12431849	SRR12431850	SRR12431857	SRR12431861	SRR12431862
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	2496.0	0.0	1604.0	33989.0	80833.0	4168.0	0.0	0.0	122.0	5147.0	0.0	504.0	0.0	0.0	0.0	0.0	0.0	0.0	3507.0	33.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	0.0	0.0	0.0	4825.0	1199.0	0.0	0.0	0.0	201.0	131.0	0.0	0.0	0.0	0.0	0.0	2835.0	1474.0	0.0	11.0	81124.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	266.0	1080.0	0.0	0.0	149.0	3046.0	46.0	0.0	32.0	2317.0	1380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	872.0	0.0	0.0	0.0	769.0	0.0	7711.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	1285.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1479.0	0.0	0.0	11156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	0.0	0.0	11.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0.0	0.0	0.0	0.0	207.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	0.0	0.0	0.0	0.0	0.0	4447.0	72.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	277.0	0.0	0.0	114.0	5238.0	0.0	0.0	0.0	0.0	200.0	737.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6510.0	34.0	0.0
