# Constructed from biom file
#OTU ID	SRR15084962	SRR15084977	SRR15084978	SRR15084979	SRR15084980	SRR15084997	SRR15084999	SRR15085000	SRR15085001	SRR15085003	SRR15085004	SRR15085005	SRR15085007	SRR15085009	SRR15085010	SRR15085012	SRR15085013	SRR15085014	SRR15085015	SRR15085016	SRR15085017	SRR15085018	SRR15085019	SRR15085020	SRR15085021	SRR15085022	SRR15085023	SRR15085024	SRR15085025	SRR15085026	SRR15085028	SRR15085029	SRR15085030	SRR15085031	SRR15085032	SRR15085035	SRR15085036	SRR15085037	SRR15085038	SRR15085039	SRR15085041	SRR15085042	SRR15085043	SRR15085044	SRR15085048	SRR15085049	SRR15085050	SRR15085051	SRR15085052	SRR15085053	SRR15085054	SRR15085055	SRR15085056	SRR15085057	SRR15085058	SRR15085059	SRR15085060	SRR15085061	SRR15085062	SRR15085063	SRR15085064	SRR15085065	SRR15085066	SRR15085067	SRR15085068	SRR15085069	SRR15085070	SRR15085071	SRR15085072	SRR15085073	SRR15085074	SRR15085075	SRR15085076	SRR15085077	SRR15085078	SRR15085079	SRR15085080	SRR15085083	SRR15085084	SRR15085093	SRR15085094
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	334.0	894.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7360.0	0.0	0.0	0.0	0.0	0.0	718.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1727.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3687.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	650.0	0.0	0.0	4615.0	0.0	1542.0	2284.0	682.0	4029.0	0.0	0.0	0.0	0.0	0.0	3741.0	0.0	6572.0	1343.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	479.0	368.0	0.0	833.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1414.0	0.0	0.0	0.0	172.0	0.0	0.0	0.0	1496.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	563.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	469.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2033.0	0.0	266.0	0.0	341.0	0.0	0.0	0.0	909.0	0.0	1126.0	0.0	10551.0	525.0	0.0	341.0	252.0	0.0	0.0	0.0	162.0	1738.0	267.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1468.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	363.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	775.0	0.0	1239.0	12223.0	4937.0	5196.0	0.0	0.0	2101.0	928.0	0.0	0.0	0.0	9388.0	953.0	7776.0	6080.0	0.0	0.0	0.0	25.0	16141.0	0.0	5252.0	3799.0	0.0	951.0	7820.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	718.0	0.0	674.0	0.0	722.0	0.0	0.0	558.0	1014.0	0.0	0.0	241.0	0.0	8760.0	0.0	0.0	217.0	0.0	168.0	532.0	1697.0	74.0	195.0	0.0	0.0	0.0	196.0	11376.0	2483.0	5149.0	0.0	6050.0	1083.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.0	0.0	0.0	0.0	0.0	325.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	267.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	528.0	407.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1248.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	637.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6525.0	0.0	0.0	0.0	0.0	769.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1835.0	0.0	0.0	7645.0	0.0	0.0	0.0	0.0	2179.0	63.0	0.0	0.0	0.0	427.0	0.0	0.0	0.0	2612.0	0.0	0.0	0.0	0.0	1399.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	0.0	0.0	0.0	0.0	1360.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3939.0	0.0	0.0	0.0	0.0	0.0	0.0	940.0	0.0	0.0	0.0	292.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.0	0.0	0.0	4172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	704.0	0.0	0.0	0.0	0.0	12361.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	3522.0	0.0	0.0	1136.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	1837.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	0.0	0.0	413.0	0.0	0.0	0.0	199.0	0.0	0.0	1911.0	74.0	133.0	1986.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	3571.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	1316.0	19120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1426.0	0.0	1398.0	5641.0	60.0	78.0	1150.0	918.0	0.0	10280.0	0.0	2466.0	0.0	2304.0	11145.0	121.0	0.0	3313.0	5367.0	0.0	813.0	2012.0	163.0	0.0	0.0	651.0	88.0	0.0	2757.0	0.0	954.0	0.0	3007.0	0.0	0.0	0.0	0.0
