# Constructed from biom file
#OTU ID	SRR20285067	SRR20285076	SRR20285079	SRR20285103	SRR20285106	SRR20285108	SRR20285109	SRR20285113	SRR20285114	SRR20285121	SRR20285122	SRR20285129	SRR20285130	SRR20285131	SRR20285132	SRR20285133	SRR20285136	SRR20285138	SRR20285140	SRR20285141	SRR20285144	SRR20285145	SRR20285146	SRR20285148	SRR20285151	SRR20285153	SRR20285155	SRR20285163	SRR20285164	SRR20285171	SRR20285174	SRR20285180	SRR20285184	SRR20285190	SRR20285191	SRR20285193	SRR20285195	SRR20285196	SRR20285198	SRR20285200	SRR20285211	SRR20285213	SRR20285214	SRR20285216	SRR20285217	SRR20285226	SRR20285237	SRR20285240	SRR20285245	SRR20285248	SRR20285253	SRR20285261	SRR20285263	SRR20285266	SRR20285268	SRR20285269	SRR20285271	SRR20285275	SRR20285276	SRR20285278	SRR20285285	SRR20285297	SRR20285299	SRR20285300	SRR20285301	SRR20285302	SRR20285314	SRR20285315	SRR20285323	SRR20285325	SRR20285326	SRR20285332	SRR20285333	SRR20285335	SRR20285337	SRR20285339	SRR20285340	SRR20285341	SRR20285343	SRR20285355	SRR20285357	SRR20285358	SRR20285363	SRR20285368
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	196.0	51.0	15.0	6391.0	67.0	40.0	464.0	409.0	33.0	0.0	1766.0	93.0	49.0	48.0	0.0	1566.0	96.0	42.0	1551.0	0.0	105.0	1272.0	0.0	310.0	1439.0	51.0	31.0	16112.0	68.0	131.0	519.0	1165.0	177.0	49820.0	488.0	1844.0	15248.0	770.0	2351.0	0.0	2151.0	951.0	435.0	39.0	216.0	1267.0	49.0	0.0	0.0	150.0	0.0	287.0	63.0	8.0	0.0	0.0	0.0	604.0	0.0	756.0	1956.0	22.0	663.0	1574.0	29.0	16.0	15.0	118.0	3195.0	0.0	93.0	25.0	0.0	0.0	0.0	0.0	836.0	1115.0	2104.0	0.0	87.0	82.0	729.0	25.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	90.0	13.0	43.0	249.0	0.0	0.0	2.0	22.0	31.0	0.0	3.0	21.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	27.0	33.0	0.0	0.0	0.0	63.0	98.0	5.0	76.0	9.0	0.0	192.0	0.0	5.0	6.0	164.0	0.0	0.0	0.0	9.0	3.0	8.0	9.0	23.0	31.0	0.0	0.0	12.0	0.0	93.0	0.0	11.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	71.0	866.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	43.0	17.0	28.0	34.0	40.0	10.0	25.0	37.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium	74.0	152.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	40.0	14.0	87.0	33.0	0.0	0.0	0.0	61.0	0.0	607.0	121.0	52.0	0.0	989.0	221.0	836.0	45.0	48.0	0.0	429.0	65.0	0.0	57.0	0.0	54.0	76.0	0.0	45.0	105.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.0	119.0	0.0	0.0	0.0	0.0	0.0	50.0	44.0	325.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	14.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	28.0	0.0	6.0	12.0	795.0	0.0	0.0	60.0	91.0	0.0	89.0	0.0	0.0	203.0	0.0	0.0	16.0	234.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	31.0	90.0	0.0	20.0	17.0	27.0	15.0	16.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-003	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	36.0	4.0	0.0	19.0	2.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Thermoactinomycetales;f__Thermoactinomycetaceae;g__Thermoactinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	695.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_AC2044_group	9.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0
