# Constructed from biom file
#OTU ID	SRR23340528	SRR23340529	SRR23340530	SRR23340531	SRR23340532	SRR23340533	SRR23340534	SRR23340535	SRR23340536	SRR23340537	SRR23340538	SRR23340539	SRR23340540	SRR23340541	SRR23340542	SRR23340543	SRR23340544	SRR23340545	SRR23340546	SRR23340547	SRR23340548	SRR23340549	SRR23340550	SRR23340551	SRR23340552	SRR23340553	SRR23340554	SRR23340555	SRR23340556	SRR23340557	SRR23340558	SRR23340559	SRR23340566	SRR23340577	SRR23340588	SRR23340592	SRR23340594	SRR23340595	SRR23340596	SRR23340597	SRR23340598	SRR23340599	SRR23340600	SRR23340601	SRR23340602	SRR23340603	SRR23340604	SRR23340605	SRR23340606	SRR23340607	SRR23340608	SRR23340609	SRR23340610	SRR23340611	SRR23340621	SRR23340632	SRR23340643	SRR23340649	SRR23340660	SRR23340671	SRR23340676	SRR23340677	SRR23340678	SRR23340679	SRR23340680	SRR23340681	SRR23340682	SRR23340683	SRR23340684	SRR23340685	SRR23340686	SRR23340687	SRR23340688	SRR23340689	SRR23340690	SRR23340691	SRR23340692	SRR23340693	SRR23340694	SRR23340695	SRR23340696	SRR23340697	SRR23340698	SRR23340699	SRR23340700	SRR23340701	SRR23340702	SRR23340703	SRR23340704	SRR23340705	SRR23340706	SRR23340707	SRR23340708	SRR23340709	SRR23340710	SRR23340711	SRR23340712	SRR23340713	SRR23340714	SRR23340715	SRR23340716	SRR23340717	SRR23340718	SRR23340719	SRR23340720	SRR23340721	SRR23340722	SRR23340723	SRR23340724	SRR23340726	SRR23340727	SRR23340728	SRR23340729	SRR23340730	SRR23340731	SRR23340732	SRR23340733	SRR23340734	SRR23340758	SRR23340759	SRR23340770	SRR23340782	SRR23340804	SRR23340805	SRR23340806	SRR23340807
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	622.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	298.0	0.0	0.0	0.0	0.0	37.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.0	670.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	0.0	482.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	0.0	212.0	0.0	0.0	595.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	851.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	313.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	0.0	1614.0	0.0	0.0	0.0	0.0	0.0	722.0	115.0	0.0	0.0	0.0	174.0	408.0	0.0	0.0	264.0	0.0	0.0	0.0	486.0	574.0	0.0	0.0	0.0	0.0	34.0	0.0	352.0	0.0	0.0	493.0	0.0	0.0	1230.0	69.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	320.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	543.0	0.0	2335.0	0.0	415.0	0.0	164.0	92.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	723.0	0.0	0.0	284.0	75.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0	852.0	520.0	0.0	34.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	101.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	432.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0.0	1403.0	0.0	0.0	839.0	0.0	0.0	0.0	246.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	34.0	1099.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	672.0	0.0	2342.0	0.0	0.0	0.0	122.0	0.0	1278.0	0.0	0.0	0.0	0.0	0.0	0.0	1849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	477.0	358.0	0.0	1002.0	0.0	0.0	0.0	676.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	927.0	0.0	0.0	0.0	0.0	0.0	395.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Lawsonella	0.0	0.0	0.0	0.0	455.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;__	1385.0	0.0	0.0	0.0	0.0	0.0	0.0	788.0	0.0	4320.0	0.0	0.0	0.0	0.0	0.0	978.0	2842.0	3133.0	0.0	11966.0	0.0	3007.0	1573.0	0.0	3269.0	0.0	0.0	1617.0	2865.0	0.0	0.0	0.0	0.0	1627.0	0.0	2419.0	0.0	0.0	0.0	0.0	0.0	0.0	506.0	0.0	2048.0	3293.0	6889.0	0.0	0.0	0.0	0.0	7207.0	0.0	0.0	0.0	0.0	3870.0	5145.0	0.0	0.0	10322.0	0.0	3302.0	0.0	0.0	0.0	909.0	8063.0	0.0	0.0	0.0	0.0	5645.0	1747.0	0.0	0.0	2378.0	4371.0	0.0	442.0	0.0	2465.0	0.0	0.0	0.0	6302.0	176.0	0.0	717.0	4766.0	0.0	279.0	3323.0	776.0	0.0	0.0	1997.0	0.0	5287.0	0.0	0.0	0.0	1296.0	1810.0	0.0	6569.0	0.0	0.0	0.0	0.0	809.0	0.0	0.0	4485.0	6087.0	0.0	1771.0	2831.0	1133.0	0.0	3481.0	0.0	0.0	5021.0	4765.0	342.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	255.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	89.0	28.0	0.0	0.0	829.0	0.0	0.0	0.0	0.0	0.0	0.0	195.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	189.0	5175.0	0.0	522.0	0.0	2777.0	0.0	253.0	58.0	0.0	200.0	1133.0	0.0	114.0	0.0	321.0	1758.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1020.0	0.0	0.0	251.0	298.0	0.0	0.0	1016.0	0.0	0.0	1574.0	0.0	236.0	0.0	6.0	0.0	3510.0	0.0	0.0	0.0	0.0	1066.0	589.0	597.0	0.0	2721.0	0.0	459.0	0.0	0.0	0.0	0.0	1189.0	0.0	0.0	0.0	0.0	934.0	898.0	335.0	350.0	10562.0	1498.0	0.0	0.0	0.0	0.0	0.0	1077.0	0.0	808.0	0.0	0.0	395.0	1421.0	0.0	1213.0	0.0	526.0	0.0	0.0	70.0	0.0	51.0	0.0	0.0	0.0	375.0	949.0	0.0	225.0	0.0	5.0	431.0	0.0	4435.0	0.0	36.0	30912.0	0.0	0.0	3240.0	317.0	678.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	36.0	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	463.0	0.0	315.0	0.0	0.0	729.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	656.0	231.0	0.0	0.0	237.0	0.0	0.0	0.0	0.0	0.0	126.0	466.0	0.0	0.0	0.0	804.0	0.0	574.0	0.0	0.0	0.0	0.0	404.0	0.0	256.0	0.0	886.0	0.0	44.0	0.0	0.0	0.0	0.0	574.0	0.0	358.0	0.0	0.0	879.0	523.0	0.0	0.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	284.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0	0.0	373.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452.0	0.0	140.0	0.0	386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Haliscomenobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
