# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	49.0	30.0	5.0	45.0	84.0	92.0	274.0	56.0	142.0	43.0	71.0	41.0	49.0	111.0	70.0	58.0	79.0	37.0	19.0	48.0	36.0	45.0	167.0	63.0	86.0	24.0	46.0	314.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum	19.0	0.0	0.0	21.0	44.0	77.0	140.0	131.0	97.0	13.0	63.0	97.0	70.0	76.0	23.0	7.0	95.0	24.0	19.0	65.0	38.0	20.0	390.0	107.0	125.0	39.0	2.0	159.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	13.0	11.0	1534.0	2665.0	3028.0	614.0	2265.0	1191.0	1798.0	1171.0	1154.0	568.0	2083.0	1350.0	676.0	1485.0	2221.0	646.0	1630.0	1457.0	1274.0	497.0	950.0	3339.0	1959.0	2420.0	1048.0
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	9.0	15.0	54.0	6.0	0.0	61.0	9.0	1.0	52.0	16.0	9.0	13.0	20.0	22.0	117.0	71.0	178.0	0.0	523.0	8.0	38.0	15.0	8.0	4.0	29.0	0.0	37.0	15.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	1617.0	377.0	0.0	3159.0	1466.0	2758.0	3010.0	2520.0	3034.0	2430.0	784.0	3378.0	4326.0	3493.0	3678.0	1500.0	2869.0	2434.0	1351.0	4214.0	1337.0	4074.0	3179.0	1751.0	1216.0	4091.0	3668.0	2461.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	8.0	0.0	0.0	0.0	7.0	4.0	0.0	1.0	2.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	21.0	0.0	4.0	0.0	3.0	2.0	1.0	10.0	80.0	25.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria	672.0	1211.0	1215.0	415.0	372.0	11.0	887.0	1123.0	4.0	567.0	1421.0	702.0	7.0	6.0	188.0	3222.0	78.0	566.0	557.0	15.0	2253.0	224.0	219.0	788.0	16.0	113.0	284.0	567.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	633.0	276.0	0.0	357.0	383.0	74.0	1435.0	98.0	740.0	154.0	378.0	279.0	493.0	54.0	380.0	436.0	177.0	23.0	1015.0	193.0	298.0	476.0	808.0	366.0	376.0	233.0	296.0	759.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium]_nodatum_group	0.0	0.0	0.0	113.0	59.0	46.0	49.0	8.0	38.0	51.0	119.0	114.0	163.0	0.0	56.0	22.0	40.0	7.0	12.0	20.0	16.0	64.0	0.0	8.0	0.0	21.0	0.0	43.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	6.0	49.0	205.0	34.0	3.0	63.0	23.0	663.0	20.0	72.0	278.0	2.0	9.0	66.0	68.0	0.0	73.0	7.0	4.0	0.0	4.0	146.0	21.0	16.0	50.0	12.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	12.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	84.0	264.0	198.0	0.0	1.0	8.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0	0.0	1.0	17.0	232.0	37.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	170.0	0.0	0.0	701.0	512.0	506.0	351.0	297.0	757.0	434.0	543.0	387.0	363.0	741.0	513.0	151.0	339.0	373.0	127.0	454.0	523.0	423.0	475.0	919.0	824.0	0.0	0.0	233.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	43.0	64.0	0.0	521.0	302.0	310.0	545.0	100.0	555.0	1041.0	1199.0	763.0	324.0	172.0	523.0	439.0	326.0	345.0	171.0	374.0	208.0	284.0	683.0	406.0	110.0	474.0	108.0	561.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae;g__Dietzia	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	12.0	8.0	0.0	0.0	3.0	3.0	13.0	6.0	0.0	0.0	31.0	0.0	1.0	0.0	0.0	0.0	1.0	11.0	24.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Alysiella	0.0	0.0	0.0	0.0	1.0	0.0	1.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	10.0	0.0	2.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	2.0	29.0	0.0	0.0	3.0	12.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	5.0	2.0	8.0	2.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	11.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
