# Constructed from biom file
#OTU ID	ERR2174431	ERR2174434	ERR2174437	ERR2174439	ERR2174441	ERR2174445	ERR2174447	ERR2174449	ERR2174452	ERR2174454	ERR2174456	ERR2174460	ERR2174464	ERR2174472	ERR2174474	ERR2174477	ERR2174479	ERR2174481	ERR2174485	ERR2174487	ERR2174490	ERR2174492	ERR2174494	ERR2174496	ERR2174500	ERR2174502	ERR2174504	ERR2174506	ERR2174508	ERR2174513	ERR2174515	ERR2174517	ERR2174519	ERR2174521	ERR2174522	ERR2174524	ERR2174531	ERR2174533	ERR2174535	ERR2174537	ERR2174539	ERR2174541	ERR2174543	ERR2174545	ERR2174547	ERR2174549	ERR2174552	ERR2174556	ERR2174559	ERR2174561	ERR2174563	ERR2174565	ERR2174569	ERR2174572	ERR2174575	ERR2174577	ERR2174579	ERR2174581	ERR2174583	ERR2174585	ERR2174587	ERR2174592	ERR2174594	ERR2174596	ERR2174598	ERR2174600	ERR2174604	ERR2174606	ERR2174610	ERR2991506	ERR2991510	ERR2991518	ERR2991530	ERR2991533	ERR2991536	ERR2991543	ERR2991547	ERR2991551	ERR2991555	ERR2991557	ERR2991561	ERR2991573	ERR2991576	ERR2991588	ERR2991591	ERR2991599	ERR2991603	ERR2991606	ERR2991616	ERR2991624	ERR2991626	ERR2991631	ERR2991651	ERR2991673	ERR2991685	ERR2991689	ERR2991697	ERR2991704	ERR2991724	ERR2991741	ERR2991745	ERR2991749	ERR2991755	ERR2991759	ERR2991763	ERR2991767	ERR2991771	ERR2991775	ERR2991779	ERR2991783	ERR2991787	ERR2991790	ERR2991794	ERR2991798	ERR2991802	ERR2991806	ERR2991810	ERR2991814	ERR2991818	ERR2991822	ERR2991826	ERR2991830	ERR2991834	ERR2991838	ERR2991842	ERR2991849	ERR2991853	ERR2991856	ERR2991863	ERR2991867	ERR2991871	ERR2991890	ERR2991894	ERR2991898	ERR2991902	ERR2991906	ERR2991909	ERR2991913	ERR2991921	ERR2991928	ERR2991935	ERR2991939	ERR2991947	ERR2991962	ERR2991965	ERR2991969	ERR2991976	ERR2991980	ERR2991984	ERR2991985	ERR2991989	ERR2991993	ERR2991997	ERR2992005	ERR2992009	ERR2992013	ERR2992020	ERR2992024	ERR2992028	ERR2992032	ERR2992036	ERR2992040	ERR2992044	ERR2992048	ERR2992052	ERR2992056	ERR2992064	ERR2992067	ERR2992071	ERR2992074	ERR2992081	ERR2992085	ERR2992089	ERR2992097	ERR2992101	ERR2992105	ERR2992109	ERR2992114	ERR2992118	ERR2992123	ERR2992125	ERR2992135	ERR2992139	ERR2992140	ERR2992144	ERR2992154
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	7.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	18.0	0.0	0.0	69.0	12.0	61.0	0.0	0.0	0.0	41.0	0.0	18.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	46.0	8.0	61.0	0.0	5.0	0.0	0.0	16.0	19.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	9.0	0.0	0.0	0.0	0.0	0.0	54.0	22.0	0.0	0.0	0.0	0.0	19.0	11.0	0.0	6.0	0.0	143.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	4852.0	7148.0	6809.0	2598.0	0.0	3975.0	0.0	3402.0	2948.0	0.0	3228.0	236.0	2122.0	6266.0	4272.0	1154.0	5462.0	4012.0	6484.0	2994.0	4073.0	1488.0	39.0	0.0	0.0	0.0	8260.0	0.0	6107.0	7915.0	6215.0	4753.0	309.0	0.0	3094.0	1465.0	6272.0	7586.0	0.0	3696.0	291.0	1561.0	0.0	744.0	1289.0	1481.0	543.0	717.0	3233.0	4684.0	7282.0	1787.0	87.0	1414.0	3874.0	6424.0	0.0	4317.0	2656.0	0.0	3846.0	4447.0	2357.0	3787.0	0.0	3819.0	5067.0	5826.0	352.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	189.0	3346.0	89.0	263.0	3484.0	2078.0	982.0	3669.0	1400.0	5734.0	2433.0	158.0	4996.0	347.0	4693.0	0.0	4770.0	2875.0	5288.0	6007.0	7715.0	3875.0	1760.0	4766.0	2531.0	4769.0	1749.0	2192.0	1692.0	4409.0	7435.0	4313.0	2708.0	1779.0	8443.0	622.0	2229.0	1539.0	8695.0	5811.0	6857.0	619.0	22.0	1401.0	7756.0	8106.0	718.0	1116.0	4714.0	25.0	7986.0	1342.0	78.0	61.0	1755.0	8.0	527.0	6534.0	453.0	2135.0	3443.0	4133.0	3106.0	688.0	1829.0	4142.0	504.0	5491.0	3457.0	5699.0	4915.0	3596.0	1738.0	3686.0	3651.0	2944.0	5023.0	6499.0	3032.0	23.0	695.0	1523.0	1664.0	1612.0	1246.0	3200.0	254.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	8.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	6.0	2.0	0.0	92.0	17.0	0.0	14.0	183.0	52.0	58.0	6.0	0.0	26.0	12.0	0.0	0.0	102.0	15.0	5.0	0.0	215.0	0.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	5.0	0.0	0.0	0.0	797.0	24.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	318.0	0.0	8.0	0.0	8.0	0.0	0.0	115.0	22.0	11.0	42.0	34.0	0.0	16.0	0.0	0.0	15.0	143.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	44.0	0.0	18.0	9.0	10.0	0.0	0.0	28.0	65.0	0.0	43.0	0.0	89.0	28.0	13.0	182.0	19.0	0.0	50.0	19.0	58.0	0.0	8.0	0.0	0.0	80.0	42.0	88.0	0.0	18.0	0.0	44.0	289.0	50.0	19.0	248.0	1038.0	0.0	0.0	24.0	873.0	39.0	15.0	178.0	5.0	0.0	13.0	216.0	64.0	22.0	41.0	34.0	0.0	3.0	64.0	3.0	2.0	43.0	5.0	1204.0	134.0	1.0	6.0	51.0	446.0	273.0	44.0	51.0	0.0	51.0	0.0	0.0	615.0	91.0	72.0	44.0	5.0	3.0	40.0	7501.0	77.0	9.0	53.0	131.0	130.0	293.0	2830.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	3.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	32.0	13.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	5.0	0.0	2067.0	69.0	0.0	0.0	0.0	0.0	77.0	11.0	18.0	2.0	0.0	16.0	23.0	32.0	0.0	0.0	28.0	0.0	16.0	76.0	0.0	0.0	14.0	0.0	21.0	61.0	3.0	8.0	131.0	3.0	0.0	13.0	0.0	4.0	0.0	1.0	0.0	38.0	17.0	39.0	6.0	440.0	0.0	17.0	318.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
