# Constructed from biom file
#OTU ID	SRR23072974	SRR23072976	SRR23072977	SRR23072978	SRR23072979	SRR23072980	SRR23072981	SRR23072982	SRR23072983	SRR23072984	SRR23072985	SRR23072986	SRR23072987	SRR23072988	SRR23072989	SRR23072990	SRR23072991	SRR23072992	SRR23072993	SRR23072994	SRR23072995	SRR23072996	SRR23072997	SRR23072998	SRR23073000	SRR23073001	SRR23073002	SRR23073003	SRR23073004	SRR23073005	SRR23073006	SRR23073007	SRR23073008	SRR23073009	SRR23073010	SRR23073011	SRR23073012	SRR23073013	SRR23073014	SRR23073015	SRR23073016	SRR23073017	SRR23073018	SRR23073020	SRR23073021	SRR23073022	SRR23073023	SRR23073024	SRR23073025	SRR23073026	SRR23073027	SRR23073028	SRR23073029	SRR23073030	SRR23073034	SRR23073035	SRR23073036	SRR23073037	SRR23073038	SRR23073039	SRR23073040	SRR23073044	SRR23073045	SRR23073046	SRR23073048	SRR23073049	SRR23073050	SRR23073052	SRR23073053	SRR23073054	SRR23073055	SRR23073057	SRR23073058	SRR23073059	SRR23073060	SRR23073062	SRR23073063	SRR23073064	SRR23073065	SRR23073066	SRR23073067	SRR23073068	SRR23073069	SRR23073070	SRR23073071	SRR23073073	SRR23073074	SRR23073076	SRR23073077	SRR23073078	SRR23073079	SRR23073080	SRR23073081	SRR23073082	SRR23073083	SRR23073084	SRR23073085	SRR23073086	SRR23073087	SRR23073088	SRR23073089	SRR23073090	SRR23073092	SRR23073093	SRR23073094	SRR23073096	SRR23073097	SRR23073098	SRR23073099	SRR23073100	SRR23073101	SRR23073102	SRR23073105	SRR23073107	SRR23073108	SRR23073109	SRR23073111	SRR23073112	SRR23073113	SRR23073114	SRR23073115	SRR23073116	SRR23073119	SRR23073120	SRR23073121
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	233.0	0.0	51.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	36.0	0.0	0.0	0.0	119.0	151.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	424.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	463.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	499.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	209.0	0.0	0.0	9.0	0.0	0.0	331.0	0.0	0.0	199.0	0.0	0.0	0.0	1021.0	136.0	151.0	0.0	19.0	0.0	84.0	52.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	822.0	686.0	428.0	361.0	634.0	6901.0	238.0	549.0	697.0	59.0	3996.0	229.0	232.0	1796.0	3655.0	1756.0	8075.0	3219.0	1956.0	5395.0	6394.0	6588.0	5489.0	7377.0	8033.0	2741.0	3541.0	5774.0	22.0	1017.0	639.0	5445.0	2269.0	618.0	7036.0	368.0	2482.0	3208.0	395.0	1123.0	261.0	113.0	6589.0	17.0	0.0	1033.0	2427.0	1848.0	1042.0	9085.0	2493.0	2275.0	8395.0	1485.0	184.0	0.0	2207.0	1457.0	237.0	59.0	161.0	377.0	919.0	334.0	399.0	767.0	316.0	402.0	3553.0	266.0	6429.0	2032.0	953.0	144.0	3188.0	6280.0	261.0	1731.0	0.0	6455.0	206.0	5471.0	1298.0	69.0	1325.0	676.0	0.0	2636.0	1800.0	4407.0	1658.0	2549.0	170.0	439.0	3922.0	605.0	7185.0	1475.0	1575.0	7293.0	6701.0	36.0	2066.0	1315.0	1726.0	632.0	3132.0	60.0	0.0	0.0	288.0	1881.0	167.0	655.0	729.0	163.0	59.0	445.0	628.0	506.0	335.0	845.0	3380.0	1925.0	7160.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	84.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	150.0	0.0	497.0	0.0	28.0	990.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	469.0	0.0	0.0	225.0	52.0	0.0	0.0	1563.0	35.0	31.0	0.0	0.0	35.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	148.0	53.0	30.0	0.0	0.0	82.0	0.0	101.0	719.0	81.0	0.0	635.0	22.0	0.0	0.0	179.0	0.0	76.0	257.0	0.0	0.0	77.0	0.0	0.0	0.0	99.0	375.0	38.0	70.0	0.0	8.0	0.0	86.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	13.0	0.0	87.0	79.0	126.0	230.0	341.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__	1141.0	0.0	1780.0	4652.0	1154.0	0.0	1147.0	1369.0	513.0	421.0	102.0	423.0	0.0	495.0	0.0	0.0	713.0	0.0	0.0	247.0	0.0	0.0	0.0	275.0	0.0	0.0	318.0	0.0	623.0	867.0	1186.0	394.0	1321.0	3279.0	212.0	0.0	1013.0	3126.0	1178.0	923.0	585.0	408.0	781.0	0.0	0.0	0.0	0.0	0.0	1402.0	0.0	459.0	0.0	0.0	0.0	2767.0	3150.0	0.0	2070.0	0.0	0.0	1245.0	192.0	0.0	0.0	0.0	505.0	0.0	0.0	0.0	2023.0	0.0	0.0	758.0	0.0	0.0	138.0	683.0	770.0	1028.0	0.0	677.0	0.0	581.0	0.0	626.0	869.0	2434.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287.0	0.0	0.0	705.0	1392.0	191.0	0.0	671.0	0.0	0.0	2209.0	3868.0	0.0	5214.0	273.0	169.0	0.0	0.0	0.0	0.0	580.0	2324.0	207.0	0.0	763.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0	616.0	203.0	0.0	0.0	0.0	1443.0	562.0	125.0	0.0	40.0	51.0	0.0	391.0	0.0	1330.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	16.0	0.0	0.0	10.0	259.0	188.0	318.0	176.0	177.0	280.0	587.0	191.0	267.0	1218.0	0.0	0.0	0.0	17.0	212.0	0.0	0.0	0.0	0.0	5192.0	8.0	0.0	367.0	0.0	610.0	70.0	4888.0	132.0	2372.0	3912.0	0.0	5014.0	4191.0	4618.0	2846.0	1552.0	1299.0	363.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0	815.0	0.0	0.0	140.0	24.0	1245.0	5296.0	160.0	178.0	0.0	0.0	3800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	15.0	207.0	0.0	766.0	0.0	0.0	0.0	0.0	0.0	224.0	0.0	4210.0	0.0	6228.0	6740.0	5725.0	1526.0	2345.0	2239.0	216.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	1920.0	2196.0	3027.0	3647.0	1446.0	457.0	2394.0	1812.0	414.0	1267.0	557.0	1191.0	0.0	1245.0	1750.0	3203.0	362.0	1840.0	0.0	1262.0	920.0	170.0	1458.0	1127.0	77.0	4493.0	639.0	1439.0	5142.0	6518.0	75.0	474.0	4138.0	2469.0	390.0	3838.0	2969.0	2041.0	901.0	2489.0	4508.0	1253.0	298.0	26.0	0.0	4921.0	1286.0	6258.0	5694.0	29.0	1261.0	695.0	572.0	5273.0	1824.0	3060.0	3810.0	3540.0	1104.0	658.0	4028.0	1551.0	3166.0	658.0	455.0	615.0	2131.0	1517.0	1368.0	1908.0	586.0	1581.0	142.0	70.0	758.0	300.0	5562.0	2328.0	1995.0	1734.0	1980.0	1350.0	2101.0	880.0	4095.0	4101.0	1660.0	6461.0	835.0	1024.0	1231.0	2260.0	395.0	487.0	1638.0	2958.0	198.0	3045.0	1787.0	1358.0	952.0	1380.0	737.0	2996.0	1114.0	2984.0	371.0	1752.0	2173.0	0.0	1386.0	1563.0	666.0	1439.0	3456.0	692.0	608.0	917.0	1998.0	723.0	1273.0	2082.0	876.0	2193.0	418.0
